H,0.3326,82.02,0.0708,1.00794
1H,0.3326,82.03,0.0708,1.00782503223
2H,0.000519,7.64,0.0708,2.01410177812
3H,0,3.03,0.0708,3.0160492779
He,0.00747,1.34,0.147,4.002602
3He,5333.,6,0.147,3.0160293201
4He,0,1.34,0.147,4.00260325413
Li,70.5,1.37,0.534,6.9675
6Li,940.,0.97,0.534,6.0151228874
7Li,0.0454,1.4,0.534,7.0160034366
Be,0.0076,7.63,1.848,9.0121831
B,767.,5.24,2.34,10.8135
10B,3835.,3.1,2.34,10.01293695
11B,0.0055,5.77,2.34,11.00930536
C,0.0035,5.551,2.25,12.0106
12C,0.00353,5.559,2.25,12
13C,0.00137,4.84,2.25,13.003354835
N,1.9,11.51,0.808,14.006855
14N,1.91,11.53,0.808,14.00307400443
15N,0.000024,5.21,0.808,15.0001088988
O,0.00019,4.232,1.149,15.9994
16O,0.0001,4.232,1.149,15.99491461957
17O,0.236,4.2,1.149,16.9991317565
18O,0.00016,4.29,1.149,17.9991596128
F,0.0096,4.018,1.108,18.998403163
Ne,0.039,2.628,1.204,20.1797
20Ne,0.036,2.695,1.204,19.9924401762
21Ne,0.67,5.7,1.204,20.993846685
22Ne,0.046,1.88,1.204,21.991385114
Na,0.53,3.28,0.971,22.98976928
Mg,0.063,3.71,1.738,24.3055
24Mg,0.05,4.03,1.738,23.985041697
25Mg,0.19,1.93,1.738,24.985836976
26Mg,0.0382,3,1.738,25.982592968
Al,0.231,1.503,2.6989,26.9815385
Si,0.171,2.167,2.33,28.085
28Si,0.177,2.12,2.33,27.97692653465
29Si,0.101,2.78,2.33,28.9764946649
30Si,0.107,2.64,2.33,29.973770136
P,0.172,3.312,1.82,30.973761998
S,0.53,1.026,2.07,32.0675
32S,0.54,0.988,2.07,31.9720711744
33S,0.54,3.1,2.07,32.9714589098
34S,0.227,1.52,2.07,33.967867004
36S,0.15,1.1,2.07,35.96708071
Cl,33.5,16.8,1.56,35.4515
35Cl,44.1,21.8,1.56,34.968852682
37Cl,0.433,1.19,1.56,36.965902602
Ar,0.675,0.683,1.4,39.948
